iter	Accuracy	Logloss
0	0.862875	0.6837007446
1	0.867	0.6744855957
2	0.865	0.666357666
3	0.862	0.6583928223
4	0.8625	0.6500087891
5	0.862875	0.6417185059
6	0.861375	0.6343754272
7	0.862	0.6271987915
8	0.8625	0.619928833
9	0.86275	0.6127471313
10	0.862875	0.6067590942
11	0.86225	0.600380127
12	0.862	0.5940092163
13	0.86225	0.588248291
14	0.860375	0.5820092773
15	0.860625	0.5758140869
16	0.861625	0.5700258789
17	0.862625	0.5640441284
18	0.862625	0.5585144653
19	0.862	0.5533383789
20	0.862	0.5480157471
21	0.862	0.5430682983
22	0.862375	0.5382905273
23	0.862375	0.5333919067
24	0.863125	0.5279556274
25	0.862625	0.523647522
26	0.86275	0.5193612671
27	0.862625	0.5147811279
28	0.86275	0.5109994202
29	0.863125	0.5065815125
30	0.86325	0.5018943787
31	0.8635	0.4978184509
32	0.863375	0.4942018738
33	0.863125	0.4912897339
34	0.862875	0.4877862244
35	0.863	0.4839581604
36	0.862625	0.4810075378
37	0.863375	0.4774573059
38	0.8635	0.4746610107
39	0.863625	0.4707697754
40	0.86375	0.4678179321
41	0.86375	0.4646456604
42	0.863625	0.4615973206
43	0.8635	0.4586212158
44	0.8635	0.4555139771
45	0.86325	0.4528215332
46	0.8635	0.4502700195
47	0.86325	0.4474631958
48	0.8635	0.4444671631
49	0.863625	0.4417911987
50	0.86375	0.4389997559
51	0.864125	0.4368607483
52	0.864	0.4346141663
53	0.864	0.4320377502
54	0.8655	0.4296560669
55	0.865	0.4274727783
56	0.864875	0.4259519958
57	0.864875	0.4242640381
58	0.865125	0.4217236023
59	0.8645	0.4200956421
60	0.864625	0.4180360107
61	0.864125	0.4161571045
62	0.8645	0.4145709839
63	0.864125	0.4128499756
64	0.864375	0.411631958
65	0.864375	0.4102721252
66	0.864625	0.4084048767
67	0.864375	0.4071435547
68	0.864625	0.4055820923
69	0.8645	0.403725647
70	0.864375	0.4023659973
71	0.8645	0.4009670715
72	0.864125	0.3992434082
73	0.865125	0.3979875488
74	0.86475	0.3966738586
75	0.86475	0.3956733398
76	0.864875	0.3946532288
77	0.864625	0.3931679382
78	0.86475	0.3922034912
79	0.864625	0.3909592896
80	0.86475	0.3897462769
81	0.864875	0.3883528442
82	0.8645	0.3873999023
83	0.8645	0.3864942932
84	0.8645	0.3855433044
85	0.864375	0.3845948486
86	0.864375	0.3835040894
87	0.864125	0.3822529907
88	0.86425	0.3813253479
89	0.863875	0.3799244995
90	0.86425	0.3786521301
91	0.8645	0.3776808167
92	0.86375	0.3766502075
93	0.864125	0.3756001587
94	0.863875	0.374901825
95	0.864125	0.3740482788
96	0.864125	0.3731661682
97	0.864625	0.372470459
98	0.8645	0.371710968
99	0.864375	0.3706262817
100	0.86475	0.3698019104
101	0.86475	0.36896698
102	0.86475	0.3679786987
103	0.864625	0.3672927246
104	0.86525	0.3663150635
