iter	Passed	Remaining
0	43	218274
1	154	387325
2	169	283097
3	224	280295
4	245	245029
5	278	231431
6	298	212876
7	318	199045
8	411	228435
9	462	230864
10	552	250406
11	570	237089
12	583	223781
13	596	212298
14	614	204161
15	632	196975
16	681	199676
17	699	193628
18	728	191036
19	741	184706
20	790	187469
21	803	181864
22	823	178143
23	842	174611
24	931	185408
25	950	181876
26	964	177604
27	1013	179974
28	1026	176004
29	1055	174832
30	1217	195130
31	1235	191863
32	1248	187955
33	1259	183984
34	1272	180506
35	1433	197598
36	1446	194013
37	1495	195342
38	1506	191625
39	1596	198017
40	1626	196741
41	1644	194188
42	1674	193055
43	1693	190693
44	1723	189757
45	1753	188842
46	1783	187954
47	1813	187053
48	1902	192209
49	1991	197185
50	2152	208904
51	2166	206116
52	2195	204921
53	2245	205640
54	2295	206397
55	2456	216890
56	2468	214053
57	2478	211197
58	2568	215100
59	2586	212980
60	2615	211759
61	2633	209767
62	2651	207820
63	2740	211377
64	2751	208929
65	2762	206537
66	2792	205604
67	2814	204112
68	2863	204671
69	2914	205234
70	2936	203892
71	2949	201910
72	3041	205247
73	3059	203676
74	3073	201826
75	3085	199911
76	3097	198043
77	3126	197315
78	3138	195494
79	3167	194791
80	3185	193460
81	3203	192152
82	3216	190570
83	3245	189914
84	3258	188414
85	3306	188960
86	3395	191725
87	3425	191205
88	3438	189734
89	3599	196380
90	3689	199008
91	3707	197781
92	3756	198203
93	3785	197554
94	3798	196115
95	3816	194951
96	3834	193808
97	3845	192351
98	3863	191274
99	4023	197170
100	4052	196551
101	4104	197119
102	4155	197547
103	4173	196488
104	4263	198745
105	4352	200935
106	4370	199855
107	4420	200233
108	4431	198857
109	4449	197811
110	4478	197275
111	4527	197613
112	4577	197972
113	4588	196676
114	4677	198693
115	4695	197708
116	4745	198038
117	4763	197070
118	4851	199007
119	4940	200921
120	5030	202822
121	5191	207560
122	5221	207017
123	5270	207247
124	5288	206267
125	5317	205691
126	5335	204721
127	5353	203768
128	5382	203252
129	5411	202737
130	5461	202976
131	5551	204726
132	5569	203824
133	5583	202763
134	5597	201722
135	5687	203411
136	5717	202936
137	5731	201916
138	5891	206029
139	5905	204989
140	5993	206551
141	6022	206039
142	6052	205581
143	6213	209523
144	6224	208422
145	6312	209882
146	6473	213727
147	6634	217517
148	6664	216980
149	6677	215912
150	6766	217296
151	6928	220971
152	6946	220061
153	7035	221383
154	7063	220793
155	7152	222088
156	7240	223362
157	7251	222225
158	7269	221326
159	7293	220617
160	7383	221913
161	7472	223145
162	7483	222069
163	7511	221510
164	7561	221581
165	7590	221045
166	7600	219968
167	7761	223236
168	7774	222249
169	7787	221263
170	7950	224522
171	7970	223735
172	7990	222958
173	8005	222042
174	8036	221571
175	8056	220829
176	8220	224007
177	8273	224114
178	8293	223356
179	8456	226457
180	8477	225709
181	8641	228768
182	8655	227824
183	8674	227057
184	8705	226587
185	8869	229569
186	8901	229109
187	8993	230194
188	9013	229447
189	9034	228703
190	9199	231616
191	9214	230744
192	9378	233590
193	9543	236414
194	9558	235529
195	9589	235042
196	9601	234097
197	9653	234117
198	9705	234159
199	9718	233233
200	9737	232497
201	9750	231609
202	9916	234326
203	9947	233860
204	10036	234761
205	10086	234721
206	10247	237270
207	10277	236779
208	10307	236283
209	10325	235523
210	10486	238011
211	10574	238830
212	10603	238299
213	10763	240724
214	10791	240184
215	10821	239666
216	10869	239590
217	10918	239510
218	10936	238763
219	10954	238020
220	10966	237138
221	11018	237138
222	11038	236463
223	11058	235783
224	11073	235001
225	11124	234996
226	11155	234561
227	11186	234125
228	11199	233326
229	11213	232566
230	11228	231820
231	11243	231075
232	11256	230297
233	11271	229566
234	11285	228837
235	11378	229700
236	11391	228934
237	11411	228316
238	11463	228366
239	11484	227770
240	11497	227035
241	11516	226432
242	11529	225696
243	11689	227854
244	11703	227139
245	11791	227881
246	11802	227118
247	11852	227104
248	11863	226362
249	11876	225657
250	11887	224924
251	11901	224231
252	11914	223546
253	11925	222832
254	11939	222162
255	11950	221454
256	11961	220758
257	11975	220099
258	12135	222132
259	12296	224171
260	12325	223802
261	12338	223137
262	12500	225155
263	12665	227203
264	12827	229205
265	12859	228862
266	12888	228467
267	12978	229161
268	13140	231099
269	13153	230430
270	13176	229937
271	13205	229546
272	13254	229504
273	13266	228831
274	13427	230714
275	13438	230007
276	13527	230649
277	13545	230079
278	13575	229712
279	13624	229667
280	13713	230293
281	13723	229605
282	13772	229561
283	13933	231373
284	13946	230732
285	14035	231337
286	14065	230976
287	14095	230616
288	14108	229981
289	14268	231747
290	14279	231076
291	14439	232806
292	14452	232174
293	14500	232108
294	14512	231454
295	14599	232006
296	14647	231946
297	14659	231299
298	14672	230682
299	14700	230303
300	14718	229776
301	14731	229167
302	14741	228515
303	14751	227875
304	14769	227352
305	14930	229038
306	14942	228420
307	14952	227780
308	15041	228346
309	15054	227760
310	15103	227715
311	15121	227211
312	15139	226709
313	15150	226093
